ID_Pregunta,Sistema,Consistencia_Silogistica,Fidelidad_Juridica,Complejidad
100,Agente_CoT_CoV,3,3,3
101,Agente_CoT_CoV,4,4,3
102,Agente_CoT_CoV,4,3,4
103,Agente_CoT_CoV,4,4,4
104,Agente_CoT_CoV,4,4,3
105,Agente_CoT_CoV,3,4,2
106,Agente_CoT_CoV,3,4,2
107,Agente_CoT_CoV,2,4,1
108,Agente_CoT_CoV,4,4,3
108,RAG_Base,3,4,3
109,Agente_CoT_CoV,4,3,4
110,Agente_CoT_CoV,4,4,4
110,RAG_Base,3,4,3
111,Agente_CoT_CoV,4,4,3
111,RAG_Base,3,4,2
112,Agente_CoT_CoV,3,4,2
113,Agente_CoT_CoV,4,4,4
115,Agente_CoT_CoV,4,4,3
116,Agente_CoT_CoV,4,5,3
116,RAG_Base,3,5,3
117,Agente_CoT_CoV,4,4,3
117,RAG_Base,3,4,3
118,Agente_CoT_CoV,3,3,3
120,Agente_CoT_CoV,4,4,4
120,RAG_Base,2,4,4
