ID_Pregunta,Pregunta,Sistema,Fuente_Evaluada,Evaluador,Consistencia_Silogistica_J2,Fidelidad_Juridica_J2,Complejidad_J2,Observacion_Metodologica
10,¿Qué efectos produce en la validez de un contrato civil la discrepancia entre la causa expresada en el texto contractual y la causa real perseguida por las partes?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
11,"Si en una promesa de compraventa las partes pactaron celebrar el contrato definitivo cuando “se normalice la situación registral del inmueble”, ¿esa expresión puede considerarse una condición suficientemente determinada para exigir cumplimiento?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
12,¿Cómo se diferencia jurídicamente una obligación condicional de una obligación a plazo cuando la cláusula contractual usa lenguaje impreciso sobre un evento futuro?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
12,¿Cómo se diferencia jurídicamente una obligación condicional de una obligación a plazo cuando la cláusula contractual usa lenguaje impreciso sobre un evento futuro?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
13,"En un contrato de mutuo entre particulares, ¿qué análisis debe hacerse si se pactan intereses sin claridad sobre su tasa, periodicidad ni momento de exigibilidad?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,3,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
14,¿Cómo se determina la prevalencia entre una cláusula especial y una cláusula general cuando ambas regulan el mismo supuesto de incumplimiento con consecuencias distintas?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
14,¿Cómo se determina la prevalencia entre una cláusula especial y una cláusula general cuando ambas regulan el mismo supuesto de incumplimiento con consecuencias distintas?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
15,"Si un contrato civil remite a anexos técnicos no firmados por las partes, ¿qué criterios permiten establecer si esos anexos quedaron válidamente incorporados al contenido obligacional?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
15,"Si un contrato civil remite a anexos técnicos no firmados por las partes, ¿qué criterios permiten establecer si esos anexos quedaron válidamente incorporados al contenido obligacional?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
16,"En un contrato de obra, ¿cómo debe calificarse el incumplimiento del contratista cuando entrega la obra, pero esta presenta defectos funcionales que impiden su uso normal?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
17,¿Cuándo una ejecución defectuosa debe tratarse como cumplimiento imperfecto y cuándo como incumplimiento esencial que habilita resolución del contrato?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
17,¿Cuándo una ejecución defectuosa debe tratarse como cumplimiento imperfecto y cuándo como incumplimiento esencial que habilita resolución del contrato?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
18,"Si una cláusula de exoneración de responsabilidad está redactada en términos amplios y genéricos, ¿hasta dónde puede desplegar efectos frente a culpa leve, culpa grave o dolo?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
19,¿Cómo se analiza la validez de una cláusula contractual que traslada todos los riesgos previsibles e imprevisibles a una sola parte sin distinguir origen ni control del riesgo?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,3,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
19,¿Cómo se analiza la validez de una cláusula contractual que traslada todos los riesgos previsibles e imprevisibles a una sola parte sin distinguir origen ni control del riesgo?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
20,"En un contrato celebrado por correo electrónico, ¿qué elementos serían jurídicamente relevantes para acreditar la existencia del consentimiento y el momento del perfeccionamiento?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
20,"En un contrato celebrado por correo electrónico, ¿qué elementos serían jurídicamente relevantes para acreditar la existencia del consentimiento y el momento del perfeccionamiento?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
21,"¿Qué diferencia existe entre interpretar una cláusula ambigua y suplir un vacío contractual, y por qué esa distinción es crítica al evaluar la fidelidad de una respuesta jurídica?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,5,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
21,"¿Qué diferencia existe entre interpretar una cláusula ambigua y suplir un vacío contractual, y por qué esa distinción es crítica al evaluar la fidelidad de una respuesta jurídica?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
22,"Si una cláusula dispone que el deudor responderá “por cualquier perjuicio”, ¿esa redacción permite presumir inclusión automática de lucro cesante, daño emergente y daños indirectos?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
23,¿Cómo debe resolverse la tensión entre el tenor literal de una cláusula y la conducta posterior de las partes cuando ambas apuntan a significados opuestos?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
24,"En un contrato de compraventa de cosa futura, ¿qué efectos tiene la pérdida de la cosa antes de su existencia por causa no imputable al vendedor?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,5,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
24,"En un contrato de compraventa de cosa futura, ¿qué efectos tiene la pérdida de la cosa antes de su existencia por causa no imputable al vendedor?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,4,5,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
25,"Si las partes usan en el contrato términos técnicos propios de un sector económico pero luego discuten su alcance, ¿debe preferirse el sentido jurídico general o el sentido técnico sectorial?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
26,"¿Cómo se valora jurídicamente una cláusula de terminación unilateral que no establece causales, procedimiento ni deber de preaviso?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
26,"¿Cómo se valora jurídicamente una cláusula de terminación unilateral que no establece causales, procedimiento ni deber de preaviso?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
27,"En un contrato con varios deudores, ¿qué elementos permiten distinguir si la obligación asumida es simplemente conjunta o solidaria cuando el texto no lo dice expresamente?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
27,"En un contrato con varios deudores, ¿qué elementos permiten distinguir si la obligación asumida es simplemente conjunta o solidaria cuando el texto no lo dice expresamente?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
28,¿Cuáles son los efectos de la mora del acreedor en un contrato bilateral y cómo incide sobre la responsabilidad posterior del deudor?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,5,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
28,¿Cuáles son los efectos de la mora del acreedor en un contrato bilateral y cómo incide sobre la responsabilidad posterior del deudor?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,4,5,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
29,"Si un acreedor rechaza sin justificación una prestación sustancialmente conforme, ¿puede luego alegar incumplimiento resolutorio del deudor?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
29,"Si un acreedor rechaza sin justificación una prestación sustancialmente conforme, ¿puede luego alegar incumplimiento resolutorio del deudor?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
30,¿Cómo se analiza una cláusula que faculta a una parte para fijar unilateralmente el contenido económico futuro del contrato?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
30,¿Cómo se analiza una cláusula que faculta a una parte para fijar unilateralmente el contenido económico futuro del contrato?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
31,"En un contrato de depósito, si el depositario usa la cosa sin autorización pero la restituye intacta, ¿qué consecuencias contractuales y resarcitorias proceden?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
31,"En un contrato de depósito, si el depositario usa la cosa sin autorización pero la restituye intacta, ¿qué consecuencias contractuales y resarcitorias proceden?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
32,¿En qué supuestos el silencio de una parte durante la ejecución contractual puede adquirir relevancia interpretativa o integradora del contrato?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
32,¿En qué supuestos el silencio de una parte durante la ejecución contractual puede adquirir relevancia interpretativa o integradora del contrato?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
33,"Si un contrato contiene una cláusula de “entera integridad” pero existe evidencia robusta de acuerdos precontractuales contradictorios, ¿hasta qué punto esos acuerdos pueden ser considerados para interpretar el contrato?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
33,"Si un contrato contiene una cláusula de “entera integridad” pero existe evidencia robusta de acuerdos precontractuales contradictorios, ¿hasta qué punto esos acuerdos pueden ser considerados para interpretar el contrato?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
34,"¿Cómo debe calificarse una cláusula que impone una sanción económica desproporcionada por cualquier incumplimiento, incluso leve o subsanable?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
34,"¿Cómo debe calificarse una cláusula que impone una sanción económica desproporcionada por cualquier incumplimiento, incluso leve o subsanable?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
35,"En un contrato civil celebrado por representante, ¿qué análisis corresponde cuando el poder era ambiguo respecto de la facultad de transigir, renunciar o comprometer patrimonialmente al representado?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
36,"¿Qué criterios permiten distinguir error obstativo, error vicio y simple discrepancia interpretativa en la formación del contrato?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
36,"¿Qué criterios permiten distinguir error obstativo, error vicio y simple discrepancia interpretativa en la formación del contrato?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,3,1,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
37,"Si un contrato de obra fija precio global, pero el comitente solicita modificaciones sustanciales durante la ejecución, ¿cómo se determina si nace un derecho al reajuste?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
38,¿Cómo se interpreta una cláusula de confidencialidad que prohíbe divulgar “cualquier información relacionada” con el negocio sin delimitar temporalidad ni contenido?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,3,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
39,¿Cuándo una obligación de medio puede transformarse funcionalmente en una obligación de resultado a partir de la redacción contractual y del contexto negocial?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
39,¿Cuándo una obligación de medio puede transformarse funcionalmente en una obligación de resultado a partir de la redacción contractual y del contexto negocial?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
40,"En una compraventa con pacto de reserva de dominio, ¿qué efectos tiene el incumplimiento parcial del comprador sobre la facultad del vendedor de reclamar restitución del bien?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,5,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
41,¿Cómo se resuelve un conflicto entre una cláusula manuscrita y una cláusula preimpresa cuando ambas regulan el mismo punto de manera incompatible?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,3,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
42,"Si un contrato prevé pago en moneda extranjera, pero guarda silencio sobre tasa de conversión y lugar de pago, ¿qué problemas jurídicos deben resolverse para exigir cumplimiento?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
42,"Si un contrato prevé pago en moneda extranjera, pero guarda silencio sobre tasa de conversión y lugar de pago, ¿qué problemas jurídicos deben resolverse para exigir cumplimiento?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,3,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
43,¿Qué relevancia tiene la buena fe objetiva en la interpretación de un contrato civil cuando el texto admite más de una lectura razonable?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
43,¿Qué relevancia tiene la buena fe objetiva en la interpretación de un contrato civil cuando el texto admite más de una lectura razonable?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
44,¿Cómo se determina si una condición pactada depende exclusivamente de la voluntad de una de las partes y qué efectos tendría ello sobre la obligación?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
44,¿Cómo se determina si una condición pactada depende exclusivamente de la voluntad de una de las partes y qué efectos tendría ello sobre la obligación?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
45,"En un contrato de suministro civil atípico entre particulares, ¿qué criterios permiten integrar obligaciones no expresamente pactadas sobre calidad, oportunidad y cooperación?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
45,"En un contrato de suministro civil atípico entre particulares, ¿qué criterios permiten integrar obligaciones no expresamente pactadas sobre calidad, oportunidad y cooperación?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
46,¿Basta la simple desproporción económica para afirmar lesión enorme o se requieren elementos normativos adicionales según el tipo contractual?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
46,¿Basta la simple desproporción económica para afirmar lesión enorme o se requieren elementos normativos adicionales según el tipo contractual?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
47,¿Cómo debe examinarse la validez de una renuncia anticipada y general a reclamar perjuicios derivados del incumplimiento futuro de la contraparte?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
48,"En un contrato con cláusula compromisoria redactada de manera imprecisa, ¿qué criterios permiten establecer si las partes realmente excluyeron la jurisdicción ordinaria?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
49,"¿Cómo debe tratarse un error en la identificación del inmueble vendido cuando la nomenclatura es incorrecta, pero otros elementos del contrato permiten inferir el bien querido?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
49,"¿Cómo debe tratarse un error en la identificación del inmueble vendido cuando la nomenclatura es incorrecta, pero otros elementos del contrato permiten inferir el bien querido?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
50,"Si el contrato atribuye a una parte la facultad de interpretar unilateralmente sus propias cláusulas en caso de duda, ¿esa estipulación produce efectos jurídicos plenos?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
50,"Si el contrato atribuye a una parte la facultad de interpretar unilateralmente sus propias cláusulas en caso de duda, ¿esa estipulación produce efectos jurídicos plenos?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
51,¿Qué análisis procede cuando las partes suscriben un contrato simulado para ocultar una relación jurídica distinta y luego una de ellas pretende hacer valer el negocio aparente?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,5,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
51,¿Qué análisis procede cuando las partes suscriben un contrato simulado para ocultar una relación jurídica distinta y luego una de ellas pretende hacer valer el negocio aparente?,RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,3,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
52,"En un contrato de comodato, ¿cómo incide el uso distinto de la cosa prestada sobre la responsabilidad del comodatario por deterioro o pérdida?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,2,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
53,"¿Cómo se determina si una obligación es divisible o indivisible cuando la prestación principal admite fraccionamiento material, pero el interés del acreedor parece unitario?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
54,"Si un contrato prevé varias causales de terminación y una cláusula general de incumplimiento grave, ¿cómo se define si una conducta no listada permite resolver el vínculo?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
55,¿Qué efectos tiene sobre la exigibilidad de la obligación una cláusula que supedita el pago a la satisfacción subjetiva del acreedor respecto del resultado obtenido?,Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,4,4,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
56,"¿Cómo debe analizarse la validez de una obligación contractual cuyo objeto fue descrito de forma genérica, sin parámetros suficientes para individualizar la prestación?",Agente_CoT_CoV,Respuesta_Agente_CoT_CoV,Jurista_2_IA,4,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
56,"¿Cómo debe analizarse la validez de una obligación contractual cuyo objeto fue descrito de forma genérica, sin parámetros suficientes para individualizar la prestación?",RAG_Base,Respuesta_RAG_Base,Jurista_2_IA,2,3,3,Calificación jurídica independiente sobre respuesta sustantiva disponible; escala ordinal 1-5.
