ID_Pregunta,Num_Revisiones_Agente,RAG_cobertura,Agente_cobertura,Agente_error_tecnico,Longitud_RAG,Longitud_Agente,Consistencia_Silogistica_Agente,Consistencia_Silogistica_RAG_Base,Fidelidad_Juridica_Agente,Fidelidad_Juridica_RAG_Base,Complejidad_Agente,Complejidad_RAG_Base
34,1,cobertura_total,cobertura_total,False,781,1483.0,4.0,3.0,4.0,4.0,3.0,3.0
35,1,sin_cobertura,cobertura_total,False,101,1020.0,3.0,,4.0,,2.0,
36,1,cobertura_parcial,cobertura_total,False,818,1748.0,4.0,1.0,4.0,3.0,3.0,1.0
37,1,sin_cobertura,cobertura_total,False,101,1863.0,4.0,,4.0,,3.0,
38,1,sin_cobertura,cobertura_total,False,101,2183.0,4.0,,3.0,,4.0,
39,1,cobertura_total,cobertura_total,False,1004,2107.0,4.0,3.0,4.0,4.0,3.0,3.0
40,1,sin_cobertura,cobertura_total,False,101,2270.0,5.0,,5.0,,4.0,
41,1,sin_cobertura,cobertura_total,False,101,1025.0,3.0,,4.0,,1.0,
42,1,cobertura_total,cobertura_total,False,540,2405.0,4.0,2.0,4.0,3.0,4.0,2.0
43,1,cobertura_total,cobertura_total,False,1574,2155.0,4.0,2.0,4.0,3.0,3.0,3.0
44,1,cobertura_total,cobertura_total,False,641,2377.0,4.0,2.0,4.0,4.0,3.0,2.0
45,1,cobertura_total,cobertura_total,False,1887,2820.0,4.0,3.0,4.0,4.0,4.0,3.0
46,1,cobertura_total,cobertura_total,False,1620,1890.0,4.0,3.0,4.0,4.0,3.0,3.0
47,1,sin_cobertura,cobertura_total,False,101,2066.0,4.0,,4.0,,3.0,
48,1,sin_cobertura,cobertura_total,False,101,2572.0,4.0,,4.0,,4.0,
49,1,cobertura_total,cobertura_total,False,1433,2436.0,4.0,3.0,4.0,4.0,3.0,3.0
50,1,cobertura_total,cobertura_total,False,1785,2831.0,5.0,3.0,4.0,4.0,4.0,4.0
51,1,cobertura_total,cobertura_total,False,1212,2489.0,5.0,3.0,4.0,4.0,4.0,3.0
52,1,sin_cobertura,cobertura_total,False,101,1504.0,4.0,,4.0,,2.0,
53,1,sin_cobertura,cobertura_total,False,101,2533.0,4.0,,4.0,,4.0,
54,1,sin_cobertura,cobertura_total,False,101,2315.0,4.0,,4.0,,3.0,
55,1,sin_cobertura,cobertura_total,False,101,2138.0,4.0,,4.0,,4.0,
56,1,cobertura_total,cobertura_total,False,1076,1447.0,4.0,2.0,3.0,3.0,3.0,3.0
57,2,cobertura_total,cobertura_total,False,495,1397.0,4.0,3.0,5.0,5.0,3.0,2.0
58,1,cobertura_total,cobertura_total,False,1208,3235.0,5.0,3.0,5.0,5.0,4.0,4.0
59,1,cobertura_total,cobertura_total,False,1618,2355.0,4.0,4.0,5.0,5.0,3.0,3.0
60,2,cobertura_total,cobertura_total,False,1522,2308.0,4.0,3.0,4.0,4.0,3.0,3.0
61,2,sin_cobertura,cobertura_total,False,101,1770.0,4.0,,4.0,,3.0,
62,1,sin_cobertura,cobertura_total,False,101,2037.0,3.0,,3.0,,3.0,
63,1,cobertura_total,cobertura_total,False,521,2368.0,4.0,3.0,4.0,4.0,3.0,2.0
64,2,cobertura_total,cobertura_total,False,526,2604.0,4.0,2.0,4.0,4.0,3.0,2.0
65,1,cobertura_total,cobertura_total,False,183,1497.0,4.0,3.0,5.0,5.0,3.0,2.0
66,1,sin_cobertura,cobertura_total,False,101,2348.0,4.0,,3.0,,3.0,
67,1,sin_cobertura,cobertura_total,False,101,2199.0,3.0,,3.0,,3.0,
68,1,sin_cobertura,cobertura_total,False,101,1904.0,4.0,,3.0,,4.0,
69,1,sin_cobertura,cobertura_total,False,101,2784.0,4.0,,4.0,,4.0,
70,1,sin_cobertura,cobertura_total,False,101,2096.0,4.0,,4.0,,3.0,
71,1,sin_cobertura,cobertura_total,False,101,3298.0,4.0,,4.0,,4.0,
72,1,cobertura_total,cobertura_total,False,809,2052.0,4.0,3.0,4.0,4.0,3.0,2.0
73,1,sin_cobertura,cobertura_total,False,101,1406.0,3.0,,4.0,,2.0,
74,1,cobertura_total,cobertura_total,False,516,1585.0,4.0,3.0,4.0,4.0,3.0,2.0
75,1,cobertura_total,cobertura_total,False,322,2184.0,4.0,2.0,3.0,3.0,4.0,1.0
76,1,sin_cobertura,cobertura_total,False,101,1141.0,4.0,,4.0,,3.0,
77,1,sin_cobertura,cobertura_total,False,101,809.0,3.0,,4.0,,2.0,
78,1,sin_cobertura,cobertura_total,False,101,1508.0,4.0,,4.0,,3.0,
79,1,sin_cobertura,cobertura_total,False,101,1533.0,4.0,,4.0,,3.0,
80,1,sin_cobertura,cobertura_total,False,101,1458.0,4.0,,2.0,,3.0,
81,2,sin_cobertura,cobertura_total,False,101,2584.0,4.0,,4.0,,3.0,
82,2,cobertura_total,cobertura_total,False,361,1614.0,4.0,3.0,4.0,4.0,3.0,2.0
83,1,sin_cobertura,cobertura_total,False,101,1268.0,3.0,,4.0,,2.0,
84,1,cobertura_total,cobertura_total,False,1002,1895.0,3.0,2.0,3.0,3.0,3.0,2.0
85,1,sin_cobertura,cobertura_total,False,101,1727.0,4.0,,4.0,,3.0,
86,1,cobertura_total,cobertura_total,False,546,1943.0,4.0,4.0,5.0,5.0,3.0,2.0
87,1,cobertura_total,cobertura_total,False,2386,3597.0,5.0,3.0,4.0,4.0,4.0,4.0
88,1,cobertura_total,cobertura_total,False,710,2572.0,4.0,3.0,4.0,4.0,4.0,3.0
89,2,cobertura_total,cobertura_total,False,1031,1439.0,3.0,2.0,3.0,3.0,2.0,2.0
90,1,sin_cobertura,cobertura_total,False,101,2592.0,4.0,,4.0,,4.0,
91,1,cobertura_total,cobertura_total,False,726,2219.0,4.0,3.0,4.0,4.0,4.0,3.0
92,1,sin_cobertura,cobertura_total,False,101,1987.0,4.0,,4.0,,2.0,
93,1,sin_cobertura,cobertura_total,False,101,1468.0,4.0,,5.0,,3.0,
94,1,cobertura_total,cobertura_total,False,1112,2152.0,3.0,2.0,3.0,3.0,3.0,2.0
95,1,sin_cobertura,cobertura_total,False,101,1792.0,4.0,,4.0,,3.0,
96,1,sin_cobertura,cobertura_total,False,101,1613.0,3.0,,3.0,,3.0,
97,1,cobertura_total,cobertura_total,False,676,1851.0,4.0,3.0,4.0,4.0,3.0,3.0
98,1,cobertura_total,cobertura_total,False,591,2038.0,4.0,3.0,5.0,5.0,3.0,2.0
99,1,sin_cobertura,cobertura_total,False,101,2111.0,4.0,,4.0,,3.0,
100,2,sin_cobertura,cobertura_total,False,101,2110.0,3.0,,3.0,,3.0,
101,1,sin_cobertura,cobertura_total,False,101,1811.0,4.0,,4.0,,3.0,
102,1,sin_cobertura,cobertura_total,False,101,2399.0,4.0,,3.0,,4.0,
103,2,sin_cobertura,cobertura_total,False,101,2302.0,4.0,,4.0,,4.0,
104,1,sin_cobertura,cobertura_total,False,101,1861.0,4.0,,4.0,,3.0,
105,2,sin_cobertura,cobertura_total,False,101,1511.0,3.0,,4.0,,2.0,
106,1,sin_cobertura,cobertura_total,False,101,1718.0,3.0,,4.0,,2.0,
107,1,sin_cobertura,cobertura_total,False,101,595.0,2.0,,4.0,,1.0,
108,1,cobertura_total,cobertura_total,False,1038,1496.0,4.0,3.0,4.0,4.0,3.0,3.0
109,2,sin_cobertura,cobertura_total,False,101,2802.0,4.0,,3.0,,4.0,
110,1,cobertura_total,cobertura_total,False,1733,2076.0,4.0,3.0,4.0,4.0,4.0,3.0
111,1,cobertura_total,cobertura_total,False,732,1401.0,4.0,3.0,4.0,4.0,3.0,2.0
112,1,sin_cobertura,cobertura_total,False,101,1332.0,3.0,,4.0,,2.0,
113,1,sin_cobertura,cobertura_total,False,101,3012.0,4.0,,4.0,,4.0,
114,0,sin_cobertura,error_tecnico,True,101,,,,,,,
115,1,sin_cobertura,cobertura_total,False,101,1811.0,4.0,,4.0,,3.0,
116,1,cobertura_total,cobertura_total,False,1321,1649.0,4.0,3.0,5.0,5.0,3.0,3.0
117,1,cobertura_total,cobertura_total,False,1295,1587.0,4.0,3.0,4.0,4.0,3.0,3.0
118,1,sin_cobertura,cobertura_total,False,101,2185.0,3.0,,3.0,,3.0,
119,0,sin_cobertura,error_tecnico,True,101,,,,,,,
120,1,cobertura_total,cobertura_total,False,3234,3252.0,4.0,2.0,4.0,4.0,4.0,4.0
